Student_ID,Name,Age,Marks,Admission_Date,Hostel,Course,City,Semester
S001,Aarav,19,85,2026-06-12,True,BCA,Vadodara,3
S002,Diya,20,92,2026-06-13,False,BCA,Ahmedabad,4
S003,Rohan,,78,2026-06-14,True,BSc IT,Surat,2
S004,Priya,19,,2026-06-15,True,BCA,Vadodara,5
S005,Arjun,22,88,,False,MCA,Ahmedabad,4
S006,Neha,,81,2026-06-17,True,BSc IT,Surat,3
S007,Rahul,20,67,2026-06-18,False,BCA,Vadodara,2
S008,Kavya,21,95,2026-06-19,True,MCA,Ahmedabad,5
S009,Vivek,22,,2026-06-20,False,MCA,Surat,4
S010,Meera,20,76,2026-06-21,True,BSc IT,Vadodara,3
S011,Ishaan,19,89,2026-06-22,True,BCA,Ahmedabad,4
S012,Anaya,21,91,2026-06-23,False,MCA,Surat,5
