Student_ID,Name,Age,Marks,Admission_Date,Hostel,Course,City,Semester
S001, Aarav ,19,85,12-06-2026,Yes,BCA,Vadodara, 3 
S002,Diya,20, 92 ,13/06/2026,No,BCA,Ahmedabad,4
S003,Rohan,twenty one,78,14-06-2026,YES,BSc IT,Surat,2
S004,Priya,19,Absent,15/06/2026,yes,BCA,Vadodara,5
S005,Arjun,22,88,invalid date,No,MCA,Ahmedabad,4
S006,Neha,,81,17-06-2026,Y,BSc IT,Surat,3
S007,Rahul,20, 67 ,18/06/2026,N,BCA,Vadodara,2
S008,Kavya,21,95,19-06-2026,Yes,MCA,Ahmedabad,5
S009,Vivek,22,84 marks,20/06/2026,No,MCA,Surat,4
S010,Meera, 20 ,76,21-06-2026,yes,BSc IT,Vadodara,3
S011,Ishaan,19,89,22/06/2026,TRUE,BCA,Ahmedabad,4
S012,Anaya,21,91,23-06-2026,FALSE,MCA,Surat,5
