Emp_ID,Name,Department,City,Experience,Salary,Rating
E101,Aarav,IT,Surat,3,45000,4.2
E102,Diya,HR,Mumbai,5,52000,4.5
E103,Rohan,Sales,Surat,2,38000,3.8
E104,Priya,IT,Ahmedabad,,60000,4.7
E105,Arjun,Sales,Mumbai,6,,4.1
E106,Neha,Finance,Surat,4,55000,4.3
E107,Rahul,HR,Ahmedabad,2,41000,3.9
E108,Kavya,IT,Mumbai,7,72000,4.8
E109,Vivek,Finance,Ahmedabad,5,61000,4.4
E110,Meera,Sales,Surat,3,42000,4.0
E111,Ishaan,IT,Surat,1,36000,3.7
E112,Anaya,HR,Mumbai,6,58000,4.6
E113,Kabir,Finance,Surat,8,78000,4.9
E114,Sara,Sales,Ahmedabad,4,47000,4.2
E115,Aditya,IT,Mumbai,5,65000,4.5
E116,Myra,HR,Surat,3,44000,4.1
E117,Dev,Finance,Mumbai,2,43000,3.8
E118,Riya,Sales,Ahmedabad,7,68000,4.7
E119,Yash,IT,Surat,4,57000,4.3
E120,Tara,HR,Ahmedabad,1,35000,3.6
E103,Rohan,Sales,Surat,2,38000,3.8
E109,Vivek,Finance,Ahmedabad,5,61000,4.4
E121,Aarav S,Sales,Mumbai,5,56000,4.4
E122,Nisha,Finance,Surat,6,67000,4.6
E123,Om,IT,Ahmedabad,2,40000,3.9
E124,Pooja,HR,Mumbai,4,50000,4.2
E125,Karan,Sales,Surat,1,33000,3.5
E126,Simran,Finance,Ahmedabad,7,73000,4.8
E127,Harsh,IT,Mumbai,6,69000,4.6
E128,Ira,HR,Surat,5,54000,4.4
E129,Manav,Sales,Ahmedabad,3,45000,4.0
E130,Zoya,Finance,Mumbai,4,59000,4.3
